Cycles	Fluorescence	Sample	genotype
15	-0.11801925	C7	N
16	-0.165873476	C7	N
17	-0.059958308	C7	N
18	-0.109930148	C7	N
19	-0.0597678	C7	N
20	-0.057869052	C7	N
21	-0.157329607	C7	N
22	-0.108110405	C7	N
23	-0.262901313	C7	N
24	0.043139803	C7	N
25	-0.056037066	C7	N
26	-0.057783848	C7	N
27	0.000485453	C7	N
28	-0.158490926	C7	N
29	-0.049300609	C7	N
30	0.001493939	C7	N
31	-0.105992655	C7	N
32	-0.052078311	C7	N
33	-0.003468473	C7	N
34	0.104925357	C7	N
35	0.154704459	C7	N
36	0.349086531	C7	N
37	0.727625881	C7	N
38	1.131270426	C7	N
39	1.706779665	C7	N
40	2.427225331	C7	N
1	-0.013615483	D1	N
2	-0.128916132	D1	N
3	-0.010206006	D1	N
4	0.046003743	D1	N
5	0.047930978	D1	N
6	0.045187417	D1	N
7	-0.011082291	D1	N
8	0.049368419	D1	N
9	0.050649538	D1	N
10	0.056815455	D1	N
11	0.231608209	D1	N
12	0.235236448	D1	N
13	0.236647563	D1	N
14	0.124469786	D1	N
15	0.125962815	D1	N
16	0.013355133	D1	N
17	0.253491265	D1	N
18	0.137961698	D1	N
19	0.195405132	D1	N
20	0.257127123	D1	N
21	0.203256453	D1	N
22	0.318304007	D1	N
23	0.19981633	D1	N
24	0.255535425	D1	N
25	0.260564894	D1	N
26	0.317112586	D1	N
27	0.149511451	D1	N
28	0.379344349	D1	N
29	0.329155583	D1	N
30	0.268854131	D1	N
31	0.262577038	D1	N
32	0.206751528	D1	N
33	0.379565456	D1	N
34	0.445874887	D1	N
35	0.324891328	D1	N
36	0.369034789	D1	N
37	0.508352557	D1	N
38	0.616484396	D1	N
39	0.860839497	D1	N
40	1.272681522	D1	N
1	-0.190495766	D2	N
2	-0.133763831	D2	N
3	-0.076331917	D2	N
4	-0.022863905	D2	N
5	0.090116347	D2	N
6	0.142843305	D2	N
7	0.033939503	D2	N
8	0.09158201	D2	N
9	-0.018275935	D2	N
10	0.210499243	D2	N
11	0.098339779	D2	N
12	0.046092463	D2	N
13	0.158995657	D2	N
14	0.219869404	D2	N
15	0.109718459	D2	N
16	0.170582394	D2	N
17	0.23143722	D2	N
18	0.233699929	D2	N
19	0.23224379	D2	N
20	0.235073932	D2	N
21	0.296360257	D2	N
22	0.181255394	D2	N
23	0.180643195	D2	N
24	0.289511557	D2	N
25	0.406676854	D2	N
26	0.404184268	D2	N
27	0.301443777	D2	N
28	0.519372159	D2	N
29	0.528443077	D2	N
30	0.808122423	D2	N
31	1.306119428	D2	N
32	1.984606992	D2	N
33	2.989057999	D2	N
34	3.957779094	D2	N
35	4.683689848	D2	N
36	5.436490073	D2	N
37	6.443547852	D2	N
38	6.981270227	D2	N
39	7.621130928	D2	N
40	8.066388208	D2	N
1	-0.236354588	D3	N
2	-0.128534503	D3	N
3	0.086849328	D3	N
4	0.031252529	D3	N
5	-0.020032842	D3	N
6	0.030465488	D3	N
7	0.085981851	D3	N
8	0.248227057	D3	N
9	0.142923107	D3	N
10	0.202965048	D3	N
11	0.362642245	D3	N
12	0.31293259	D3	N
13	0.260983507	D3	N
14	0.319956475	D3	N
15	0.268057095	D3	N
16	0.21956869	D3	N
17	0.493646552	D3	N
18	0.388521517	D3	N
19	0.494521985	D3	N
20	0.443888835	D3	N
21	0.395564613	D3	N
22	0.392527515	D3	N
23	0.445660142	D3	N
24	0.442134888	D3	N
25	0.663214421	D3	N
26	0.606687108	D3	N
27	0.725351291	D3	N
28	0.771971619	D3	N
29	0.890175469	D3	N
30	1.320822413	D3	N
31	1.797831458	D3	N
32	2.612109081	D3	N
33	3.683602396	D3	N
34	4.561844407	D3	N
35	5.582417999	D3	N
36	6.461600802	D3	N
37	7.220546452	D3	N
38	7.733737358	D3	N
39	8.40487183	D3	N
40	8.886045656	D3	N
1	-0.022944003	D4	S28
2	0.082171297	D4	S28
3	0.032846591	D4	S28
4	-0.073388745	D4	S28
5	-0.019068784	D4	S28
6	-0.022560359	D4	S28
7	-0.123495805	D4	S28
8	0.086193351	D4	S28
9	-0.11945737	D4	S28
10	-0.007974839	D4	S28
11	-0.060862261	D4	S28
12	-0.004667373	D4	S28
13	-0.10686331	D4	S28
14	-0.048907723	D4	S28
15	-0.307377762	D4	S28
16	-0.197534767	D4	S28
17	0.016987154	D4	S28
18	-0.137044889	D4	S28
19	-0.034345261	D4	S28
20	-0.135416883	D4	S28
21	-0.024881593	D4	S28
22	-0.185211422	D4	S28
23	-0.081392342	D4	S28
24	0.019274982	D4	S28
25	0.025133494	D4	S28
26	0.33612442	D4	S28
27	0.662455826	D4	S28
28	1.072922803	D4	S28
29	1.45277507	D4	S28
30	1.870727305	D4	S28
31	2.122270132	D4	S28
32	2.65222717	D4	S28
33	3.063347742	D4	S28
34	3.444897626	D4	S28
35	3.387210537	D4	S28
36	3.670766577	D4	S28
37	3.767688357	D4	S28
38	3.957229525	D4	S28
39	3.973116754	D4	S28
40	4.074078615	D4	S28
1	-0.075972874	D5	S23
2	-0.123546579	D5	S23
3	0.033814515	D5	S23
4	0.079658832	D5	S23
5	-0.017126011	D5	S23
6	0.027199243	D5	S23
7	-0.171234898	D5	S23
8	-0.064667863	D5	S23
9	-0.010525059	D5	S23
10	-0.199708885	D5	S23
11	-0.099385094	D5	S23
12	-0.244403704	D5	S23
13	-0.241089701	D5	S23
14	-0.229970796	D5	S23
15	-0.328815569	D5	S23
16	-0.215363618	D5	S23
17	-0.204266101	D5	S23
18	-0.302004079	D5	S23
19	-0.305188871	D5	S23
20	-0.298812081	D5	S23
21	-0.184878665	D5	S23
22	-0.139880989	D5	S23
23	0.012648375	D5	S23
24	0.51877796	D5	S23
25	1.147589853	D5	S23
26	1.501232276	D5	S23
27	2.298665121	D5	S23
28	3.052601376	D5	S23
29	3.800752253	D5	S23
30	4.313125954	D5	S23
31	4.755726785	D5	S23
32	5.386188319	D5	S23
33	6.143605472	D5	S23
34	6.32678497	D5	S23
35	6.369450066	D5	S23
36	6.416314095	D5	S23
37	6.704838156	D5	S23
38	6.771423291	D5	S23
39	7.007308192	D5	S23
40	6.948916238	D5	S23
1	-0.013192225	D6	N
2	-0.011100575	D6	N
3	-0.008067982	D6	N
4	0.039395546	D6	N
5	-0.008158603	D6	N
6	-0.012068386	D6	N
7	-0.059578049	D6	N
8	-0.005931357	D6	N
9	-0.155768473	D6	N
10	-0.045608127	D6	N
11	-0.097263575	D6	N
12	-0.092290752	D6	N
13	-0.191729025	D6	N
14	-0.134128322	D6	N
15	-0.284561162	D6	N
16	-0.32889314	D6	N
