Cycles	Fluorescence	Sample	genotype
30	-0.276682893	D5	N
31	-0.404416662	D5	N
32	-0.673255378	D5	N
33	-0.668445402	D5	N
34	-0.542812477	D5	N
35	-0.479361224	D5	N
36	-0.672356319	D5	N
37	-0.469857965	D5	N
38	-0.613446967	D5	N
39	-0.670051267	D5	N
40	-0.545498469	D5	N
1	-0.142496449	E1	N
2	-0.069961321	E1	N
3	-0.002950915	E1	N
4	-0.073078085	E1	N
5	0.070226014	E1	N
6	0.075764307	E1	N
7	0.075092973	E1	N
8	0.079797507	E1	N
9	0.000141535	E1	N
10	-0.083934675	E1	N
11	0.072552598	E1	N
12	0.074873944	E1	N
13	0.148176394	E1	N
14	0.228714305	E1	N
15	0.153764109	E1	N
16	0.385183976	E1	N
17	0.224454676	E1	N
18	-0.073259879	E1	N
19	0.452092378	E1	N
20	0.306812035	E1	N
21	0.012558975	E1	N
22	0.220931818	E1	N
23	0.387247935	E1	N
24	0.39305275	E1	N
25	0.436642841	E1	N
26	0.653725617	E1	N
27	0.801741399	E1	N
28	0.948756351	E1	N
29	1.397253739	E1	N
30	2.459949657	E1	N
31	3.893331052	E1	N
32	6.59697809	E1	N
33	10.44538512	E1	N
34	14.72866342	E1	N
35	18.56430179	E1	N
36	22.11284864	E1	N
37	24.84655643	E1	N
38	26.23716038	E1	N
